date,trial_num,is_stim,reach_time,reach_direction,rest_end,planning_end,reach_end
2021-09-22,316,0,354,right,500,915,1269
2021-09-22,317,0,347,left,500,853,1200
2021-09-22,318,0,416,left,500,801,1217
2021-09-22,319,0,185,down,500,899,1084
2021-09-22,320,1,300,down,500,900,1200
2021-09-22,321,0,225,left,500,959,1184
2021-09-22,322,0,556,up,500,794,1350
2021-09-22,323,0,264,up,500,888,1152
2021-09-22,324,1,119,down,500,964,1083
2021-09-22,325,1,232,right,500,901,1133
2021-09-22,326,0,275,left,500,876,1151
2021-09-22,327,1,236,up,500,849,1085
2021-09-22,328,1,246,down,500,954,1200
2021-09-22,329,1,392,up,500,792,1184
2021-09-22,330,1,277,down,500,908,1185
2021-09-22,331,0,363,up,500,856,1219
2021-09-22,332,1,159,down,500,926,1085
2021-09-22,333,0,242,down,500,891,1133
2021-09-22,334,1,349,down,500,852,1201
2021-09-22,335,0,240,left,500,861,1101
2021-09-22,336,1,297,down,500,853,1150
2021-09-22,337,0,238,right,500,929,1167
2021-09-22,338,0,240,down,500,860,1100
2021-09-22,339,1,318,right,500,748,1066
2021-09-22,340,0,327,down,500,874,1201
2021-09-22,341,1,218,up,500,917,1135
2021-09-22,342,0,416,up,500,783,1199
2021-09-22,344,0,179,up,500,972,1151
2021-09-22,345,0,285,up,500,882,1167
2021-09-22,346,1,191,right,500,975,1166
2021-09-22,347,1,232,left,500,786,1018
2021-09-22,348,1,340,right,500,779,1119
2021-09-22,349,1,29,up,500,1005,1034
2021-09-22,350,0,194,right,500,907,1101
2021-09-22,351,1,198,down,500,886,1084
2021-09-22,352,1,405,up,500,896,1301
2021-09-22,353,0,302,up,500,850,1152
2021-09-22,354,0,292,right,500,859,1151
2021-09-22,357,0,171,left,500,914,1085
2021-09-22,358,0,310,up,500,840,1150
2021-09-22,359,0,284,up,500,784,1068
2021-09-22,360,1,457,up,500,777,1234
2021-09-22,361,0,257,right,500,793,1050
2021-09-22,362,0,327,down,500,807,1134
2021-09-22,363,1,547,up,500,754,1301
2021-09-22,364,0,283,right,500,951,1234
2021-09-22,365,1,251,down,500,900,1151
2021-09-22,366,0,359,right,500,808,1167
2021-09-22,367,0,291,right,500,842,1133
2021-09-22,368,1,132,right,500,969,1101
2021-09-22,372,0,336,up,500,882,1218
2021-09-22,374,0,223,right,500,912,1135
2021-09-22,375,0,387,up,500,764,1151
2021-09-22,376,0,275,down,500,877,1152
2021-09-22,377,1,146,left,500,939,1085
2021-09-22,378,0,198,right,500,903,1101
2021-09-22,379,0,307,left,500,777,1084
2021-09-22,380,1,300,down,500,849,1149
2021-09-22,381,0,357,up,500,876,1233
2021-09-22,383,0,79,right,500,988,1067
2021-09-22,384,1,318,down,500,933,1251
2021-09-22,385,1,388,down,500,829,1217
2021-09-22,386,0,150,up,500,983,1133
2021-09-22,387,0,342,right,500,774,1116
2021-09-22,388,0,291,right,500,843,1134
2021-09-22,389,0,235,left,500,848,1083
2021-09-22,390,0,558,up,500,910,1468
2021-09-22,391,0,312,right,500,804,1116
2021-09-22,392,1,165,up,500,885,1050
2021-09-22,394,0,141,left,500,941,1082
2021-09-22,395,0,258,down,500,892,1150
2021-09-22,396,1,171,left,500,961,1132
2021-09-22,397,1,325,down,500,808,1133
2021-09-22,398,0,179,left,500,974,1153
2021-09-22,399,1,278,down,500,756,1034
2021-09-22,400,1,181,down,500,954,1135
2021-09-22,401,1,179,left,500,855,1034
2021-09-22,402,1,355,up,500,796,1151
2021-09-22,403,0,307,down,500,810,1117
2021-09-22,404,0,255,right,500,894,1149
2021-09-22,405,1,213,right,500,886,1099
2021-09-22,406,1,304,down,500,813,1117
2021-09-22,407,1,164,left,500,836,1000
2021-09-22,408,0,299,up,500,817,1116
2021-09-22,409,0,319,down,500,782,1101
2021-09-22,410,0,228,right,500,889,1117
2021-09-22,411,0,273,right,500,845,1118
2021-09-22,412,1,232,left,500,867,1099
2021-09-22,413,1,210,left,500,907,1117
2021-09-22,414,0,294,down,500,857,1151
2021-09-22,416,1,266,up,500,997,1263
2021-09-22,417,1,283,down,500,865,1148
2021-09-22,418,1,997,up,500,888,1885
2021-09-22,419,0,189,left,500,930,1119
2021-09-22,420,0,205,right,500,896,1101
2021-09-22,421,1,145,down,500,989,1134
2021-09-22,422,1,329,down,500,841,1170
2021-09-22,423,1,435,up,500,832,1267
2021-09-22,425,0,360,right,500,773,1133
2021-09-22,426,1,237,down,500,881,1118
2021-09-22,427,1,592,left,500,879,1471
2021-09-22,428,0,358,right,500,792,1150
2021-09-22,429,0,466,left,500,900,1366
2021-09-22,430,0,319,up,500,783,1102
2021-09-22,431,0,400,left,500,835,1235
2021-09-22,432,1,202,left,500,947,1149
2021-09-22,433,0,221,right,500,947,1168
2021-09-22,434,0,301,right,500,867,1168
2021-09-22,435,0,261,right,500,917,1178
2021-09-22,436,1,292,right,500,890,1182
2021-09-22,437,0,664,up,500,784,1448
2021-09-22,438,1,158,up,500,977,1135
2021-09-22,439,0,465,up,500,802,1267
2021-09-22,440,0,303,up,500,926,1229
2021-09-22,441,0,305,left,500,859,1164
2021-09-22,442,0,192,up,500,890,1082
2021-09-22,443,0,186,right,500,982,1168
2021-09-22,444,1,371,up,500,867,1238
2021-09-22,445,1,238,left,500,895,1133
2021-09-22,446,0,280,down,500,888,1168
2021-09-22,447,1,345,left,500,805,1150
2021-09-22,448,1,86,left,500,950,1036
2021-09-22,449,0,383,up,500,801,1184
2021-09-22,450,1,365,up,500,835,1200
2021-09-22,451,0,381,left,500,799,1180
2021-09-22,452,1,531,up,500,871,1402
2021-09-22,453,0,23,down,500,1158,1181
2021-09-22,454,1,183,down,500,968,1151
2021-09-22,455,0,427,up,500,934,1361
2021-09-22,456,1,117,up,500,952,1069
2021-09-22,457,1,399,right,500,769,1168
2021-09-22,458,1,144,right,500,945,1089
2021-09-22,459,1,255,left,500,930,1185
2021-09-22,460,1,360,right,500,874,1234
2021-09-22,461,0,245,up,500,988,1233
2021-09-22,462,0,354,down,500,798,1152
2021-09-22,463,0,198,left,500,836,1034
2021-09-22,464,0,214,left,500,888,1102
2021-09-22,465,1,392,up,500,825,1217
2021-09-22,467,1,285,left,500,831,1116
2021-09-22,468,1,276,right,500,956,1232
2021-09-22,469,0,432,down,500,814,1246
2021-09-22,471,0,295,up,500,900,1195
2021-09-22,478,1,832,down,500,786,1618
2021-09-22,479,1,296,left,500,922,1218
2021-09-22,480,0,202,down,500,966,1168
2021-09-22,482,0,305,up,500,879,1184
2021-09-22,483,1,434,up,500,866,1300
2021-09-22,484,0,541,up,500,809,1350
2021-09-22,485,1,361,up,500,991,1352
2021-09-22,486,0,96,left,500,987,1083
2021-09-22,487,1,382,right,500,820,1202
2021-09-22,490,1,258,left,500,843,1101
2021-09-22,491,1,403,right,500,798,1201
2021-09-22,492,0,148,left,500,885,1033
2021-09-22,493,1,303,right,500,779,1082
